;Link;#;Price;Shipping;Total;Remarks
Ultrasonic sensor IP67; https://a.aliexpress.com/_mrHMqRY;1;$9.57;$4.35;$13.92;choose the one with trigger, Signal pulse, PWM
Cable Gland M8 stainless; https://a.aliexpress.com/_mNePo9U;1;$0.95;$0.94;$1.89;Brass are OK as well
Arduino Nano v3 clone micro usb;https://a.aliexpress.com/_mKsQGFY;1;$2.41;$1.37;$3.78;Atmega 238P micro, 16MHz 5V
Micro-USB male solder connector;https://a.aliexpress.com/_mtwefxy;1;$1.01;$1.26;$2.27;20 pcs, 4 pin, you need 1
Pogo 4 pin usb;https://a.aliexpress.com/_mL6JoCK;1;$4.61;$4.74;$9.35;Black straight
Lipo Charger/5V Boost converter;https://a.aliexpress.com/_mLzZk1y;1;$2.40;$1.52;$3.92;5 pcs, you need 1
Piezzo Button 16mm;https://a.aliexpress.com/_mKvGoHk;1;$4.36;$5.64;$10.00;"diameter 16mm; alternative product: https://a.aliexpress.com/_ms2WFO2"
Inserts;https://a.aliexpress.com/_m0mI3DC;1;$1.28;$1.69;$2.97;M3, OD=4.2mm, L=5mm, 50pcs, you need 18 pcs
LiPO;https://a.aliexpress.com/_m0xH3yI;1;$4.91;$2.84;$7.75;
8 x 1 WS2812  RGB Full LED Lamp Panel Module 5V;https://a.aliexpress.com/_mPLBbR8;1;$0.47;$1.20;$1.67;black
Seal;local craft shop;1;$3.00;$0.00;$3.00;"2mm sheet of EPDM ""Moosgummi"" "
Epoxy;;;;;;
3d printed enclosure;;;;;;
M3 x 10 Stainless Steel Button Head Hex screws;;18;;;;
Total;;;;;$60.52;
